index,Test Batch Nº,Test Execution Site,Grease Mass (g)_OB,Parts Assembly Site_OB,Outer Race Track Case Depth (mm)_OB,Outer Race Track Surf. Hardness (HRC)_OB,Inner Race Track Case Depth (mm)_OB,Inner Race Track Surf. Hardness (HRC)_OB,Manufacturing Place - Outer Race_OB,Manufacturing Place - Inner Race_OB,Joint Endurance Torque Class_OB,Joint Endurance Torque Class_OB_2000,Joint Endurance Torque Class_OB_2300,Joint Endurance Torque Class_OB_2600,Joint Endurance Torque Class_OB_2900,Joint Endurance Torque Class_OB_3300,Joint Endurance Torque Class_OB_3700,Joint Endurance Torque Class_OB_4100,Joint Endurance Torque Class_OB_4600,Joint Endurance Torque Class_OB_5100,Joint Endurance Torque Class_OB_5600,Joint Endurance Torque Class_OB_6200,DamageGradingSum,Temp_RI_max,Temp_24hr_max,Temp_Stable_max,Life left after BI,MacDmg_Reported,Obsv_Pred_50,Obsv_Pred_10,copy_joint_Endurance,Grade_copy,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9
1378,231845EMB11,GKN OLE,,GKN VIG,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,45.6,58.2,61.1,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1379,150879EMB04,GKN DLD,128.0,GKN MOS,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,46.0,55.0,53.0,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1380,192274EMB16,GKN DLD,,GKN MOS,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,46.0,60.0,54.0,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1381,192274EMB16,GKN DLD,,GKN MOS,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,47.0,58.0,53.0,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1382,150879EMB04,GKN DLD,128.0,GKN MOS,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,47.0,58.0,55.0,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1383,192274EMB16,GKN DLD,,GKN MOS,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,47.0,59.0,54.0,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1384,231845EMB11,GKN OLE,,GKN VIG,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,47.4,59.5,61.8,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1385,162536EMB01,GKN DLD,,GKN MOS,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,48.0,55.0,54.0,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1387,150879EMB04,GKN DLD,128.0,GKN MOS,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,48.0,58.0,57.0,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1388,162536EMB01,GKN DLD,,GKN MOS,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,49.0,57.0,56.0,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1389,150879EMB04,GKN DLD,128.0,GKN MOS,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,49.0,59.0,58.0,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1390,162536EMB01,GKN DLD,,GKN MOS,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,50.0,57.0,56.0,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1391,192274EMB16,GKN DLD,,GKN MOS,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,51.0,63.0,58.0,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1392,200464EMB15,GKN CEL,123.0,GKN VLG,,,,,GKN CEL,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,51.5,60.1,40.1,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1393,200804EMB01,GKN CEL,123.0,GKN VLG,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,51.5,66.9,64.1,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1394,200804EMB01,GKN CEL,123.0,GKN VLG,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,54.3,68.3,65.9,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1395,200804EMB01,GKN CEL,123.0,GKN VLG,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,58.6,66.2,63.5,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1396,192590ESL09,GKN LOH,208.0,GKN LOH,,,,,,,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17,48.0,66.0,61.0,0.993359826,1.909874472,0.347521603,1.151567364,4100,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1397,120432ESL02,GKN LOH,200.0,GKN VIG,,,,,,,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25,39.0,42.0,41.0,0.993359826,1.388478741,0.3723062,1.15542876,4100,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1398,140064ESL03,GKN DLD,,GKN VIG,,,,,,,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14,54.0,67.0,61.0,0.990729706,1.91685572,0.348791914,1.155776738,4100,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1399,140064ESL03,GKN DLD,,GKN VIG,,,,,,,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14,57.0,73.0,58.0,0.990729706,1.91685572,0.348791914,1.155776738,4100,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
